Instance,N,K,L,c.1,c.2,c.3,c.4,c.5,p.1,p.2,p.3,p.4,p.5,theta1.1,theta1.2,theta1.3,theta1.4,theta1.5,a.1,a.2,a.3,a.4,a.5,b.1,b.2,b.3,b.4,b.5,gamma0,gamma1
78,5,1,3,0.25,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,1.0,0.5,0.5,0.5,0.5,0.3793901176204585,0.29815386130303356,0.40784937128906773,0.3728772156353628,0.2748694397246598,2.7725993465451713,2.9235899771092253,2.071408409444844,3.9283510469515144,4.28745554624824,0.10489751329223351,1.1857503799075375
79,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,0.5,1.0,0.5,0.0,0.4280809337936092,0.35756821185739274,0.27054279868263625,0.49087066539940283,0.2756449728764492,2.983451237862275,4.296024037077072,2.72440286530103,2.084021816361142,3.528856763536867,0.1282270205054228,1.4549367486662594
80,5,1,3,0.0,0.25,0.5,0.75,0.0,0.325,0.55,0.775,1.0,0.1,0.0,1.0,0.5,0.5,0.0,0.35423812545482214,0.4197103419642979,0.22751641219135854,0.2909860044102154,0.30226690817646024,3.7277010673974864,3.9563771224930706,4.159866798008309,3.7111389993895854,3.0693386015342896,0.12956711227776266,1.6034770716484128
81,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,1.0,0.5,0.5,1.0,0.3322200378663175,0.22890603079494262,0.3673228233793357,0.4469018969821385,0.33341095633742784,2.1318945194817815,2.118967382775793,3.280530085543675,3.69669097377079,3.003375672476206,0.11907249650594452,1.267863676587314
82,5,1,3,0.25,0.5,0.0,0.9,0.25,0.55,0.775,0.1,1.0,0.325,0.5,0.5,0.5,0.5,0.5,0.36712564393786284,0.4127524622436025,0.4844626322017741,0.20986751086577618,0.43953741666526774,4.214742905683789,2.736132043021347,3.89816608443054,3.3384355883119796,2.7283592016419123,0.13067011185112376,1.161051053874329
83,5,1,3,0.25,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,0.5,0.5,0.0,1.0,0.5,0.26382585003070325,0.2853015617439886,0.4602977885549068,0.43216342715558165,0.42880735519942526,4.143150178696753,3.279957693543213,4.382299574164723,4.7833645269953395,3.5421653533178565,0.17338748692746223,1.547564259317227
84,5,1,3,0.25,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,1.0,1.0,0.0,0.5,0.5,0.2671329151855765,0.3436525492949956,0.208968014832671,0.36550394552032894,0.2587724144226728,3.481773902654921,3.369484910960908,2.1451070497565383,3.0681884586803774,2.265929107382519,0.16561772888274973,1.6390873427491686
85,5,1,3,0.5,0.75,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.5,1.0,0.5,0.0,0.0,0.2126192224081547,0.3731423369637594,0.48632720986001954,0.22733470718534682,0.24844349239385885,2.037370735622547,3.7754096516919833,3.543974164556009,3.5269159275373068,2.49059418004138,0.19404449216131525,1.2370877954703698
86,5,1,3,0.25,0.5,0.0,0.25,0.49500000000000005,0.775,1.0,0.1,0.325,0.55,0.0,0.5,0.0,0.5,1.0,0.4370046675007222,0.34555016529825366,0.23645952715383003,0.24341104645699146,0.48312743282644743,2.831769510855587,3.7222022546448335,3.2478633436372273,4.502933755053636,2.1306892883029116,0.12234491477779016,1.0493117524105648
87,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,0.5,1.0,0.0,1.0,0.49154655415291837,0.2169263512650786,0.22931381668520967,0.48735300534137915,0.2554469656722211,4.483764321604557,4.643212433920703,2.7706073225556067,2.4932111339948326,3.4205139384231726,0.12017792722464615,1.6957492081999348
88,5,1,3,0.25,0.5,0.0,0.25,0.0,0.775,1.0,0.325,0.55,0.1,0.5,1.0,0.0,0.0,0.5,0.30837286923139023,0.22313179931268262,0.4660616467312242,0.3434993081419152,0.4639448538871229,4.216853071856571,2.6850933909767827,4.548364566061252,4.418407548416994,4.158006568233331,0.19334925604185238,1.2734648113874547
89,5,1,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,0.5,1.0,0.0,1.0,0.4776269235951101,0.31710004258254104,0.2936971882532692,0.28413086208795546,0.3469633991882791,3.4382855331153035,4.8832230642095595,4.064474448340259,3.4994351409484836,3.4731736154764015,0.1652421072585019,1.3790514375792786
90,5,1,3,0.25,0.75,0.0,0.6975,0.25,0.55,1.0,0.1,0.775,0.325,1.0,1.0,0.5,1.0,0.0,0.47291309935252124,0.40330449633690757,0.3238272417154665,0.2714111097012747,0.3108694992091604,3.045542954126198,3.3090342076572234,3.269244372346791,3.496120353822217,4.850170289522937,0.13765609850600155,1.2618680441622834
91,5,1,3,0.25,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,0.5,0.5,0.0,0.0,1.0,0.4883297480979135,0.4921039267758937,0.22877908001827277,0.3940738224142096,0.4119362322261675,4.263332345104918,4.342893607277242,3.843630124100373,3.633924661232239,4.406530600349167,0.1767892611799686,1.2731850414852923
92,5,1,3,0.5,0.25,0.5,0.0,0.25,1.0,0.55,0.775,0.1,0.325,1.0,1.0,0.5,1.0,0.5,0.40405105681837783,0.3657644368230017,0.41744494611884153,0.3066993632289693,0.3988440412957906,4.084354351425546,4.615340521080576,3.060232650232165,2.732401243323326,3.1270877728413478,0.1034539148588397,1.4870850435308343
93,5,1,3,0.25,0.25,0.0,0.25,0.0,1.0,0.775,0.325,0.55,0.1,0.5,1.0,0.5,0.5,0.5,0.2035617194903859,0.22529298089764288,0.32005124681165864,0.30246997900774364,0.470484362812547,3.132484728551131,4.557827079670073,3.4908821532682195,2.934660685437257,4.3990535600491825,0.1924208656714792,1.5338727118324926
94,5,1,3,0.25,0.5,0.0,0.25,0.0,0.775,1.0,0.325,0.55,0.1,1.0,0.5,0.5,1.0,0.5,0.20269903515160181,0.3562453784910774,0.2778588734493022,0.4824491892649547,0.2635941375703869,3.54508230121924,2.0801731883727124,4.578416399003094,4.053860323582133,2.3043521953285016,0.13881456528223107,1.373057379784509
95,5,1,3,0.25,0.25,0.75,0.0,0.25,0.775,0.55,1.0,0.1,0.325,0.5,1.0,0.5,0.5,0.5,0.4746521852715438,0.2982290077906125,0.21601608029731756,0.3173449184905739,0.4102149605730536,4.753794390024664,2.99726492718197,2.6211039778596894,4.7017845206199045,2.1153242956145344,0.1395829068157931,1.1448681834233256
96,5,1,3,0.25,0.25,0.0,0.25,0.0,1.0,0.775,0.325,0.55,0.1,0.5,0.0,0.0,0.5,0.0,0.2916505431951742,0.30596542812751293,0.4179798228399361,0.4996885154702764,0.4799953505965381,3.3773010354957576,4.334985302936939,4.173526025171244,2.6998512848137604,4.357325126837421,0.19615530792196145,1.7752590638593782
97,5,1,3,0.25,0.25,0.0,0.9,0.25,0.775,0.55,0.1,1.0,0.325,1.0,0.5,0.0,0.5,0.0,0.3818853762429868,0.25688952476450955,0.3880015134272756,0.4350053024499767,0.4602152278149693,3.500597638472005,4.786444287612719,3.771020898182483,2.359579240014274,2.7144317850030046,0.15912520375932304,1.780168663481188
98,5,1,3,0.5,0.25,0.0,0.6975,0.25,1.0,0.55,0.1,0.775,0.325,1.0,0.0,0.5,0.5,0.5,0.2076553962252079,0.3132268862264783,0.21640978387123633,0.46453409503752524,0.35646851309604966,2.645008086944244,3.755449195015566,2.387074933309902,2.2423310824394727,3.1587228198660426,0.10042494012876771,1.1679063832705565
99,5,1,3,0.5,0.5,0.0,0.25,0.49500000000000005,1.0,0.775,0.1,0.325,0.55,0.5,0.5,0.5,0.0,1.0,0.22229735010446686,0.2172656724168091,0.30775241191887476,0.3599572141796582,0.4705980577591535,2.9046262364940514,2.86799194573015,4.233475072638135,4.64974422311591,3.218439705977289,0.11582389940868613,1.6077854436619483
